Year,RaceNumber,Track,Pos,Start,Car Number,Driver,Sponsor,Owner,Manufact,Laps,Status,Led,Pts,Playoff Points,Track Type,Length
2020,2,Las Vegas,13,12,88,   Alex Bowman,Llumar  ,Rick Hendrick,Chevrolet,267,running,0,29,0,Oval,401
2020,2,Las Vegas,14,23,17,   Chris Buescher,Fastenal / 3M  ,Jack Roush,Ford,267,running,0,23,0,Oval,401
2020,2,Las Vegas,15,1,18,   Kyle Busch,Snickers White  ,Joe Gibbs,Toyota,267,running,0,13,0,Oval,401
2020,2,Las Vegas,16,30,32,   Corey LaJoie,Schluter Systems  ,Archie St. Hilaire,Ford,267,running,0,21,0,Oval,401
2020,2,Las Vegas,17,4,11,   Denny Hamlin,FedEx Ground  ,Joe Gibbs,Toyota,267,running,0,10,0,Oval,401
2020,2,Las Vegas,18,25,8,   Tyler Reddick,Tame the Beast  ,Richard Childress,Chevrolet,267,running,0,19,0,Oval,401
2020,2,Las Vegas,19,17,41,   Cole Custer,Production Alliance Group / Haas  ,Stewart Haas Racing,Ford,267,running,0,18,0,Oval,401
2020,2,Las Vegas,20,2,19,   Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs  ,Joe Gibbs,Toyota,267,running,1,34,0,Oval,401
2020,2,Las Vegas,21,14,10,   Aric Almirola,Smithfield  ,Stewart Haas Racing,Ford,267,running,0,16,0,Oval,401
2020,2,Las Vegas,22,11,24,   William Byron,Axalta  ,Rick Hendrick,Chevrolet,267,running,0,27,0,Oval,401
2020,2,Las Vegas,23,16,20,   Erik Jones,Irwin SPEEDBOR  ,Joe Gibbs,Toyota,267,running,0,14,0,Oval,401
2020,2,Las Vegas,24,29,38,   John H. Nemechek,Berry's Bullets  ,Bob Jenkins,Ford,267,running,0,13,0,Oval,401
2020,2,Las Vegas,25,13,1,   Kurt Busch,Monster Energy  ,Chip Ganassi,Chevrolet,266,running,0,12,0,Oval,401
2020,2,Las Vegas,26,10,9,   Chase Elliott,NAPA Auto Parts  ,Rick Hendrick,Chevrolet,266,running,70,31,2,Oval,401
2020,2,Las Vegas,27,15,6,   Ross Chastain,Wyndham Rewards  ,Jack Roush,Ford,265,running,0,0,0,Oval,401
2020,2,Las Vegas,28,37,52,   J.J. Yeley,Jacob Companies  ,Rick Ware,Ford,264,running,0,0,0,Oval,401
2020,2,Las Vegas,29,33,15,   Brennan Poole,Goettl Air Conditioning & Plumbing  ,Jay Robinson,Chevrolet,264,running,0,8,0,Oval,401
2020,2,Las Vegas,30,35,96,   Daniel Suarez,Toyota Certified Used Vehicles  ,Gaunt Brothers,Toyota,263,running,0,7,0,Oval,401
2020,2,Las Vegas,31,31,53,   Joey Gase,Nevada Donor Network  ,Rick Ware,Ford,258,running,0,0,0,Oval,401
2020,2,Las Vegas,32,32,0,   Quin Houff,Victory Weekend  ,StarCom Racing,Chevrolet,258,running,0,5,0,Oval,401
2020,2,Las Vegas,33,22,95,   Christopher Bell,Rheem / Procore / RTP  ,Leavine Family Racing,Toyota,257,running,0,-6,0,Oval,401
2020,2,Las Vegas,34,36,77,   Reed Sorenson,Spire Motorsports  ,Spire Motorsports,Chevrolet,253,running,0,3,0,Oval,401
2020,2,Las Vegas,35,34,51,   Garrett Smithley,Rick Ware Racing  ,Rick Ware,Chevrolet,252,running,0,2,0,Oval,401
2020,2,Las Vegas,36,28,34,   Michael McDowell,Love's Travel Stops / Speedco  ,Bob Jenkins,Ford,245,running,0,1,0,Oval,401
2020,2,Las Vegas,37,20,37,   Ryan Preece,Natural Light Seltzer  ,JTG-Daugherty Racing,Chevrolet,222,engine,0,1,0,Oval,401
2020,2,Las Vegas,38,38,66,   Timmy Hill,Manscaped / LasVegas.net  ,Carl Long,Toyota,175,rear end,0,0,0,Oval,401
2020,3,Fontana,1,3,88,   Alex Bowman,Cincinnati  ,Rick Hendrick,Chevrolet,200,running,110,59,6,Oval,400
2020,3,Fontana,2,17,18,   Kyle Busch,Interstate Batteries  ,Joe Gibbs,Toyota,200,running,0,40,0,Oval,400
2020,3,Fontana,3,4,1,   Kurt Busch,Monster Energy  ,Chip Ganassi,Chevrolet,200,running,0,40,0,Oval,400
2020,3,Fontana,4,13,9,   Chase Elliott,NAPA Auto Parts  ,Rick Hendrick,Chevrolet,200,running,0,40,0,Oval,400
2020,3,Fontana,5,15,2,   Brad Keselowski,Discount Tire / America's Tire  ,Roger Penske,Ford,200,running,6,44,0,Oval,400
2020,3,Fontana,6,28,11,   Denny Hamlin,FedEx Office  ,Joe Gibbs,Toyota,200,running,0,34,0,Oval,400
2020,3,Fontana,7,2,48,   Jimmie Johnson,Ally  ,Rick Hendrick,Chevrolet,200,running,10,46,0,Oval,400
2020,3,Fontana,8,6,10,   Aric Almirola,Smithfield  ,Stewart Haas Racing,Ford,200,running,0,36,0,Oval,400
2020,3,Fontana,9,5,4,   Kevin Harvick,Mobil 1  ,Stewart Haas Racing,Ford,200,running,0,29,0,Oval,400
2020,3,Fontana,10,29,20,   Erik Jones,Reser's Fine Foods  ,Joe Gibbs,Toyota,200,running,0,29,0,Oval,400
2020,3,Fontana,11,19,8,   Tyler Reddick,I Am Second  ,Richard Childress,Chevrolet,200,running,0,26,0,Oval,400
2020,3,Fontana,12,7,22,   Joey Logano,AAA Southern California  ,Roger Penske,Ford,200,running,0,29,0,Oval,400
2020,3,Fontana,13,12,21,   Matt DiBenedetto,Menards / Quaker State  ,Wood Brothers,Ford,200,running,0,27,0,Oval,400
2020,3,Fontana,14,38,19,   Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs  ,Joe Gibbs,Toyota,200,running,3,29,0,Oval,400
2020,3,Fontana,15,21,24,   William Byron,Axalta Kobe Bryant Tribute  ,Rick Hendrick,Chevrolet,200,running,1,22,0,Oval,400
2020,3,Fontana,16,11,17,   Chris Buescher,Fastenal / Wypall  ,Jack Roush,Ford,200,running,0,21,0,Oval,400
2020,3,Fontana,17,27,6,   Ross Chastain,Castrol  ,Jack Roush,Ford,200,running,0,0,0,Oval,400
2020,3,Fontana,18,18,41,   Cole Custer,Haas / Production Alliance Group  ,Stewart Haas Racing,Ford,199,running,0,19,0,Oval,400
2020,3,Fontana,19,16,12,   Ryan Blaney,Body Armor Kobe Bryant Tribute  ,Roger Penske,Ford,199,running,54,37,1,Oval,400
2020,3,Fontana,20,10,47,   Ricky Stenhouse Jr,Kroger / Cheerios / Healthy Choice  ,JTG-Daugherty Racing,Chevrolet,199,running,6,7,0,Oval,400
2020,3,Fontana,21,9,42,   Kyle Larson,McDonald's  ,Chip Ganassi,Chevrolet,199,running,0,16,0,Oval,400
2020,3,Fontana,22,8,34,   Michael McDowell,Love's Travel Stops / Speedco  ,Bob Jenkins,Ford,199,running,0,15,0,Oval,400
2020,3,Fontana,23,1,14,   Clint Bowyer,Rush Truck Centers / Haas CNC  ,Stewart Haas Racing,Ford,199,running,10,14,0,Oval,400
2020,3,Fontana,24,25,3,   Austin Dillon,Dow Coatings / Kilz  ,Richard Childress,Chevrolet,199,running,0,13,0,Oval,400
2020,3,Fontana,25,23,38,   John H. Nemechek,Fire Alarm Services  ,Bob Jenkins,Ford,199,running,0,12,0,Oval,400
2020,3,Fontana,26,24,13,   Ty Dillon,GEICO  ,Germain Racing,Chevrolet,199,running,0,11,0,Oval,400
2020,3,Fontana,27,14,43,   Bubba Wallace,Victory Junction  ,Richard Petty Motorsports,Chevrolet,198,running,0,10,0,Oval,400
2020,3,Fontana,28,31,96,   Daniel Suarez,Toyota Certified Used Vehicles  ,Gaunt Brothers,Toyota,198,running,0,9,0,Oval,400
2020,3,Fontana,29,26,32,   Corey LaJoie,Pala Casino  ,Archie St. Hilaire,Ford,197,running,0,8,0,Oval,400
2020,3,Fontana,30,20,37,   Ryan Preece,Cottonelle  ,JTG-Daugherty Racing,Chevrolet,197,running,0,-3,0,Oval,400
2020,3,Fontana,31,30,52,   J.J. Yeley,Jacob Companies  ,Rick Ware,Ford,197,running,0,0,0,Oval,400
2020,3,Fontana,32,32,15,   Brennan Poole,Choc Kids  ,Jay Robinson,Chevrolet,195,running,0,5,0,Oval,400
2020,3,Fontana,33,34,53,   Joey Gase,One Legacy  ,Rick Ware,Ford,193,running,0,0,0,Oval,400
2020,3,Fontana,34,36,51,   Garrett Smithley,Rick Ware Racing  ,Rick Ware,Chevrolet,193,running,0,3,0,Oval,400
2020,3,Fontana,35,35,0,   Quin Houff,Victory Weekend  ,StarCom Racing,Chevrolet,192,running,0,2,0,Oval,400
2020,3,Fontana,36,33,77,   Reed Sorenson,Spire Motorsports  ,Spire Motorsports,Chevrolet,191,running,0,1,0,Oval,400
2020,3,Fontana,37,37,66,   Timmy Hill,Manscaped / LasVegas.net  ,Carl Long,Toyota,184,running,0,0,0,Oval,400
2020,3,Fontana,38,22,95,   Christopher Bell,Rheem / Procore  ,Leavine Family Racing,Toyota,80,engine,0,1,0,Oval,400
2020,4,Phoenix,1,13,22,   Joey Logano,Shell / Pennzoil  ,Roger Penske,Ford,316,running,60,52,5,Oval,316
2020,4,Phoenix,2,2,4,   Kevin Harvick,Jimmy John's Freaky Fast Rewards  ,Stewart Haas Racing,Ford,316,running,67,54,1,Oval,316
2020,4,Phoenix,3,10,18,   Kyle Busch,Sport Clips  ,Joe Gibbs,Toyota,316,running,0,46,0,Oval,316
2020,4,Phoenix,4,4,42,   Kyle Larson,McDonald's  ,Chip Ganassi,Chevrolet,316,running,2,35,0,Oval,316
2020,4,Phoenix,5,18,14,   Clint Bowyer,Mobil 1 / Haas CNC  ,Stewart Haas Racing,Ford,316,running,0,35,0,Oval,316
2020,4,Phoenix,6,7,1,   Kurt Busch,Gear Wrench  ,Chip Ganassi,Chevrolet,316,running,0,31,0,Oval,316
2020,4,Phoenix,7,1,9,   Chase Elliott,Unifirst  ,Rick Hendrick,Chevrolet,316,running,93,39,0,Oval,316
2020,4,Phoenix,8,6,10,   Aric Almirola,Smithfield  ,Stewart Haas Racing,Ford,316,running,0,37,0,Oval,316
2020,4,Phoenix,9,16,41,   Cole Custer,Haas Automation  ,Stewart Haas Racing,Ford,316,running,0,29,0,Oval,316
2020,4,Phoenix,10,17,24,   William Byron,Hertz  ,Rick Hendrick,Chevrolet,316,running,0,27,0,Oval,316
2020,4,Phoenix,11,14,2,   Brad Keselowski,Alliance Parts  ,Roger Penske,Ford,316,running,82,36,1,Oval,316
2020,4,Phoenix,12,21,48,   Jimmie Johnson,Ally  ,Rick Hendrick,Chevrolet,316,running,0,25,0,Oval,316
2020,4,Phoenix,13,9,21,   Matt DiBenedetto,Motorcraft / Quick Lane  ,Wood Brothers,Ford,316,running,0,31,0,Oval,316
2020,4,Phoenix,14,8,88,   Alex Bowman,Axalta  ,Rick Hendrick,Chevrolet,316,running,0,28,0,Oval,316
2020,4,Phoenix,15,25,13,   Ty Dillon,GEICO  ,Germain Racing,Chevrolet,316,running,0,22,0,Oval,316
2020,4,Phoenix,16,22,34,   Michael McDowell,Love's Travel Stops / Speedco  ,Bob Jenkins,Ford,316,running,0,21,0,Oval,316
2020,4,Phoenix,17,23,17,   Chris Buescher,Sunny D  ,Jack Roush,Ford,316,running,1,20,0,Oval,316
2020,4,Phoenix,18,20,37,   Ryan Preece,Velveeta  ,JTG-Daugherty Racing,Chevrolet,316,running,0,19,0,Oval,316
2020,4,Phoenix,19,27,43,   Bubba Wallace,World Wide Technology  ,Richard Petty Motorsports,Chevrolet,316,running,0,18,0,Oval,316
2020,4,Phoenix,20,3,11,   Denny Hamlin,FedEx Freight  ,Joe Gibbs,Toyota,316,running,0,17,0,Oval,316
2020,4,Phoenix,21,31,96,   Daniel Suarez,CommScope  ,Gaunt Brothers,Toyota,316,running,0,16,0,Oval,316
2020,4,Phoenix,22,19,47,   Ricky Stenhouse Jr,Kroger / Nature Valley / Healthy Choice  ,JTG-Daugherty Racing,Chevrolet,316,running,0,15,0,Oval,316
2020,4,Phoenix,23,24,6,   Ross Chastain,Oscar Mayer  ,Jack Roush,Ford,316,running,0,0,0,Oval,316
2020,4,Phoenix,24,15,95,   Christopher Bell,Procore  ,Leavine Family Racing,Toyota,316,running,0,13,0,Oval,316
2020,4,Phoenix,25,26,38,   John H. Nemechek,MDS Transport  ,Bob Jenkins,Ford,316,running,0,12,0,Oval,316
2020,4,Phoenix,26,33,52,   J.J. Yeley,Window World  ,Rick Ware,Ford,316,running,0,0,0,Oval,316
2020,4,Phoenix,27,28,32,   Corey LaJoie,Motor Trend  ,Archie St. Hilaire,Ford,316,running,0,10,0,Oval,316
2020,4,Phoenix,28,11,20,   Erik Jones,Interstate Batteries  ,Joe Gibbs,Toyota,313,running,0,10,0,Oval,316
2020,4,Phoenix,29,37,53,   Joey Gase,Rick Ware Racing  ,Rick Ware,Chevrolet,313,running,0,0,0,Oval,316
2020,4,Phoenix,30,35,77,   Reed Sorenson,Spire Motorsports  ,Spire Motorsports,Chevrolet,312,running,0,7,0,Oval,316
2020,4,Phoenix,31,32,15,   Brennan Poole,Goettl Air Conditioning & Plumbing  ,Jay Robinson,Chevrolet,292,electrical,0,6,0,Oval,316
2020,4,Phoenix,32,12,19,   Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs  ,Joe Gibbs,Toyota,282,crash,11,17,0,Oval,316
2020,4,Phoenix,33,29,8,   Tyler Reddick,I Am Second  ,Richard Childress,Chevrolet,264,crash,0,13,0,Oval,316
2020,4,Phoenix,34,34,0,   Quin Houff,Mount-N-Lock / Ashurst Honey  ,StarCom Racing,Chevrolet,208,crash,0,3,0,Oval,316
2020,4,Phoenix,35,36,51,   Garrett Smithley,Jacob Construction  ,Rick Ware,Chevrolet,181,engine,0,2,0,Oval,316
2020,4,Phoenix,36,30,3,   Austin Dillon,Bass Pro Shops / Tracker Off Road  ,Richard Childress,Chevrolet,129,crash,0,1,0,Oval,316
2020,4,Phoenix,37,5,12,   Ryan Blaney,Menards / Tarkett  ,Roger Penske,Ford,65,crash,0,1,0,Oval,316
2020,4,Phoenix,38,38,66,   Timmy Hill,Pit Boss Grills  ,Carl Long,Toyota,51,engine,0,0,0,Oval,316
2020,5,Darlington,1,6,4,   Kevin Harvick,Busch Light #YOURFACEHERE  ,Stewart Haas Racing,Ford,293,running,159,54,5,Oval,400
2020,5,Darlington,2,2,88,   Alex Bowman,ChevyGoods.com / NOCO  ,Rick Hendrick,Chevrolet,293,running,41,52,0,Oval,400
2020,5,Darlington,3,22,1,   Kurt Busch,Monster Energy  ,Chip Ganassi,Chevrolet,293,running,0,39,0,Oval,400
2020,5,Darlington,4,11,9,   Chase Elliott,NAPA Auto Parts  ,Rick Hendrick,Chevrolet,293,running,0,34,0,Oval,400
2020,5,Darlington,5,10,11,   Denny Hamlin,Thank You FedEx Team Members  ,Joe Gibbs,Toyota,293,running,0,43,0,Oval,400
2020,5,Darlington,6,15,19,   Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs  ,Joe Gibbs,Toyota,293,running,0,39,0,Oval,400
2020,5,Darlington,7,29,8,   Tyler Reddick,"Caterpillar ""Thank You""  ",Richard Childress,Chevrolet,293,running,0,33,0,Oval,400
2020,5,Darlington,8,20,20,   Erik Jones,"DeWalt Atomic ""Thank You""  ",Joe Gibbs,Toyota,293,running,0,30,0,Oval,400
2020,5,Darlington,9,34,38,   John H. Nemechek,Scag Power Equipment  ,Bob Jenkins,Ford,293,running,0,28,0,Oval,400
2020,5,Darlington,10,12,42,   Matt Kenseth,Credit One Bank  ,Chip Ganassi,Chevrolet,293,running,0,27,0,Oval,400
2020,5,Darlington,11,16,3,   Austin Dillon,Symbicort  ,Richard Childress,Chevrolet,293,running,0,26,0,Oval,400
2020,5,Darlington,12,5,10,   Aric Almirola,Smithfield #GoodFoodChallenge  ,Stewart Haas Racing,Ford,293,running,0,30,0,Oval,400
2020,5,Darlington,13,1,2,   Brad Keselowski,Discount Tire  ,Roger Penske,Ford,293,running,80,40,1,Oval,400
2020,5,Darlington,14,3,21,   Matt DiBenedetto,Motorcraft / Quick Lane Tire & Auto Center  ,Wood Brothers,Ford,293,running,0,23,0,Oval,400
2020,5,Darlington,15,21,6,   Ryan Newman,Oscar Mayer #FrontYardCookout  ,Jack Roush,Ford,293,running,0,24,0,Oval,400
2020,5,Darlington,16,7,12,   Ryan Blaney,Menards / Duracell Optimum  ,Roger Penske,Ford,293,running,0,21,0,Oval,400
2020,5,Darlington,17,13,14,   Clint Bowyer,Rush Trucking / Mobil 1  ,Stewart Haas Racing,Ford,293,running,0,30,0,Oval,400
2020,5,Darlington,18,9,22,   Joey Logano,Shell / Pennzoil  ,Roger Penske,Ford,293,running,0,22,0,Oval,400
2020,5,Darlington,19,33,13,   Ty Dillon,GEICO  ,Germain Racing,Chevrolet,293,running,0,18,0,Oval,400
2020,5,Darlington,20,25,37,   Ryan Preece,Cottonelle  ,JTG-Daugherty Racing,Chevrolet,293,running,0,21,0,Oval,400
2020,5,Darlington,21,17,43,   Bubba Wallace,World Wide Technology  ,Richard Petty Motorsports,Chevrolet,293,running,0,16,0,Oval,400
2020,5,Darlington,22,14,41,   Cole Custer,HaasTooling.com  ,Stewart Haas Racing,Ford,293,running,0,15,0,Oval,400
2020,5,Darlington,23,31,34,   Michael McDowell,CarParts.com  ,Bob Jenkins,Ford,293,running,0,14,0,Oval,400
2020,5,Darlington,24,28,95,   Christopher Bell,Rheem / Procore  ,Leavine Family Racing,Toyota,293,running,0,13,0,Oval,400
2020,5,Darlington,25,37,96,   Daniel Suarez,Today. Tomorrow. Toyota.  ,Gaunt Brothers,Toyota,292,running,0,12,0,Oval,400
2020,5,Darlington,26,4,18,   Kyle Busch,"M&M's ""Thank You Heroes""  ",Joe Gibbs,Toyota,292,running,0,11,0,Oval,400
2020,5,Darlington,27,35,15,   Brennan Poole,Spartan Mosquito Pro Tech  ,Rick Ware,Chevrolet,292,running,0,10,0,Oval,400
2020,5,Darlington,28,30,27,   J.J. Yeley,Jacob Construction  ,Rick Ware,Ford,291,running,1,0,0,Oval,400
2020,5,Darlington,29,36,77,   Reed Sorenson,Greenville Swamp Rabbits / Bon Secours  ,Spire Motorsports,Chevrolet,291,running,0,8,0,Oval,400
2020,5,Darlington,30,32,51,   Joey Gase,Agri Supply  ,Rick Ware,Ford,289,running,0,0,0,Oval,400
2020,5,Darlington,31,19,32,   Corey LaJoie,Drydene  ,Archie St. Hilaire,Ford,289,running,0,6,0,Oval,400
2020,5,Darlington,32,24,17,   Chris Buescher,Fastenal / Milwaukee  ,Jack Roush,Ford,287,running,0,5,0,Oval,400
2020,5,Darlington,33,38,66,   Timmy Hill,RoofClaim.com  ,Carl Long,Toyota,286,running,0,0,0,Oval,400
2020,5,Darlington,34,40,7,   Josh Bilicki,Gravely  ,"Tommy Baldwin, Jr.",Chevrolet,286,running,0,0,0,Oval,400
2020,5,Darlington,35,18,24,   William Byron,Axalta  ,Rick Hendrick,Chevrolet,279,running,3,12,1,Oval,400
2020,5,Darlington,36,27,0,   Quin Houff,Units  ,StarCom Racing,Chevrolet,137,electrical,0,1,0,Oval,400
2020,5,Darlington,37,26,53,   Garrett Smithley,Trophy Tractor  ,Rick Ware,Chevrolet,127,power steering,0,1,0,Oval,400
2020,5,Darlington,38,8,48,   Jimmie Johnson,Ally  ,Rick Hendrick,Chevrolet,89,crash,9,1,0,Oval,400
2020,5,Darlington,39,39,78,   B.J. McLeod,Christensen Arms  ,B.J. McLeod,Chevrolet,13,engine,0,0,0,Oval,400
2020,5,Darlington,40,23,47,   Ricky Stenhouse Jr,Kroger / Nature Valley / Healthy Choice  ,JTG-Daugherty Racing,Chevrolet,0,crash,0,1,0,Oval,400
2020,6,Darlington,1,16,11,   Denny Hamlin,"FedEx ""Delivering Strength""  ",Joe Gibbs,Toyota,208,running,12,47,5,Oval,284
2020,6,Darlington,2,26,18,   Kyle Busch,M&M's Fudge Brownie  ,Joe Gibbs,Toyota,208,running,0,35,0,Oval,284
2020,6,Darlington,3,20,4,   Kevin Harvick,Mobil 1  ,Stewart Haas Racing,Ford,208,running,10,40,0,Oval,284
2020,6,Darlington,4,8,2,   Brad Keselowski,Pirtek  ,Roger Penske,Ford,208,running,7,33,0,Oval,284
2020,6,Darlington,5,13,20,   Erik Jones,Stanley Tools  ,Joe Gibbs,Toyota,208,running,27,39,0,Oval,284
